customer.customerid,customer.number,customer.contract,customer.paperlessbilling,customer.paymentmethod,customer.gender,customer.seniorcitizen,customer.partner,customer.dependents,customer.internetservice,customer.onlinesecurity,customer.onlinebackup,customer.deviceprotection,customer.techsupport,customer.streamingtv,customer.streamingmovies,customer.tenure,customer.phoneservice,customer.multiplelines
0021-VQFNB,760053765,One Year,No,Credit card (automatic),Male,1,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,63,Yes,Yes
6311-MKSGS,768147462,Month-to-Month,Yes,Credit card (automatic),Female,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,29,Yes,No
7793-NSWFY,767557644,One Year,Yes,Electronic check,Male,1,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,56,No,No phone service
9651-LCHEI,767066125,One Year,Yes,Electronic check,Male,0,No,No,DSL,No,Yes,Yes,No,Yes,Yes,52,No,No phone service
4571-GBUEO,768638994,Month-to-Month,Yes,Credit card (automatic),Male,0,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,52,No,No phone service
8978-ANPHZ,761692180,One Year,Yes,Bank transfer (automatic),Female,0,No,No,Fiber Optic,No,Yes,No,Yes,Yes,Yes,50,Yes,Yes
6143-DWQNY,765591574,One Year,Yes,Credit card (automatic),Male,0,No,No,DSL,Yes,No,No,Yes,Yes,Yes,60,No,No phone service
9347-FQPQD,765362200,Month-to-Month,No,Credit card (automatic),Male,0,Yes,No,Fiber Optic,No,Yes,No,Yes,Yes,No,43,No,No phone service
9175-YLHLV,768344094,Two Year,Yes,Credit card (automatic),Male,0,No,No,DSL,No,No,Yes,No,Yes,Yes,42,No,No phone service
2216-PIYDN,760152094,Month-to-Month,Yes,Electronic check,Male,0,No,Yes,DSL,No,No,Yes,No,No,No,56,No,No phone service
9476-EEMVO,769064991,One Year,Yes,Credit card (automatic),Male,0,No,Yes,DSL,Yes,Yes,No,No,No,No,33,No,No phone service
6097-UIENJ,761167908,Two Year,No,Mailed check,Male,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,64,No,No phone service
0881-YRVJR,767950886,One Year,No,Bank transfer (automatic),Female,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,4,No,No phone service
0944-DCCSL,769163307,One Year,Yes,Electronic check,Male,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,4,Yes,No
6888-SXOGL,769294380,Month-to-Month,No,Credit card (automatic),Male,0,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,36,No,No phone service
1316-NKPHQ,766017588,Month-to-Month,Yes,Mailed check,Female,0,Yes,No,Fiber Optic,No,No,Yes,Yes,Yes,No,29,Yes,No
6668-NOZII,769392693,One Year,Yes,Mailed check,Female,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,9,Yes,Yes
8829-GGOOU,766902328,Two Year,No,Credit card (automatic),Female,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,29,Yes,No
9508-NWQME,763756617,One Year,Yes,Bank transfer (automatic),Male,0,Yes,No,Fiber Optic,No,No,No,No,No,Yes,35,Yes,Yes
5722-FWVCU,763068494,One Year,Yes,Mailed check,Female,0,No,No,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,37,Yes,No
0084-YBDVN,762576985,One Year,No,Credit card (automatic),Male,0,Yes,Yes,DSL,No,No,No,No,No,Yes,49,No,No phone service
6355-INSEM,767885402,Month-to-Month,No,Mailed check,Male,0,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,18,No,No phone service
6856-VQOSO,763363423,Month-to-Month,No,Credit card (automatic),Male,0,Yes,No,DSL,No,No,No,Yes,No,Yes,25,No,No phone service
9387-MCEFX,766640224,One Year,No,Bank transfer (automatic),Female,0,Yes,Yes,DSL,No,No,Yes,No,No,No,26,Yes,Yes
6985-NIXFM,765198436,One Year,No,Bank transfer (automatic),Male,0,No,No,DSL,No,No,Yes,Yes,Yes,Yes,36,Yes,No
7765-QQRLK,763134053,One Year,Yes,Electronic check,Male,0,Yes,Yes,Fiber Optic,No,Yes,No,Yes,No,Yes,8,No,No phone service
8073-VAZSE,763986027,Two Year,No,Bank transfer (automatic),Male,0,Yes,No,DSL,No,No,Yes,No,No,Yes,13,Yes,Yes
0636-OSNCV,761036909,One Year,Yes,Bank transfer (automatic),Male,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,66,Yes,No
9345-IQYKS,769294449,One Year,Yes,Mailed check,Male,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,6,No,No phone service
9321-IIBUI,762347640,Two Year,No,Mailed check,Female,0,Yes,Yes,DSL,No,No,No,Yes,Yes,No,51,No,No phone service
1467-TBCMS,766115962,Month-to-Month,Yes,Credit card (automatic),Female,0,Yes,Yes,DSL,No,No,No,No,Yes,No,12,No,No phone service
1473-GQKHG,764870789,Two Year,No,Mailed check,Male,0,No,No,DSL,No,Yes,Yes,No,No,No,57,Yes,No
5264-FCYXC,768278665,One Year,Yes,Electronic check,Male,0,No,No,DSL,Yes,No,No,Yes,Yes,No,42,No,No phone service
8922-JMBID,769360013,Two Year,Yes,Electronic check,Female,0,No,No,DSL,Yes,Yes,Yes,No,Yes,No,20,Yes,No
7794-QSAXC,768278671,Two Year,Yes,Credit card (automatic),Female,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,32,Yes,Yes
1953-ICKGP,766345360,Two Year,Yes,Bank transfer (automatic),Male,0,No,Yes,DSL,No,Yes,Yes,No,No,Yes,27,No,No phone service
0199-RGFMH,767852698,One Year,No,Credit card (automatic),Male,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,31,Yes,No
0347-NLKZB,766705818,One Year,Yes,Mailed check,Male,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,59,Yes,No
6429-HFXMO,769687715,Two Year,Yes,Electronic check,Male,0,No,No,DSL,No,Yes,No,No,Yes,Yes,21,Yes,Yes
1923-MMLND,761823396,One Year,No,Electronic check,Male,0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,24,No,No phone service
9332-DJCKB,767426728,Two Year,Yes,Electronic check,Male,0,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,39,No,No phone service
5125-LEEYV,764117162,Two Year,No,Mailed check,Male,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,Yes,No
0020-VBIRS,762937516,Month-to-Month,No,Credit card (automatic),Female,0,No,Yes,DSL,Yes,Yes,No,Yes,No,Yes,61,No,No phone service
